id_vaga,nome_vaga,descricao,skills_necessarias,salario,modalidade,local
1,Engenheiro de Dados,"Engenheiro de Dados responsável por planejar aplicações. Necessário conhecimento em HTML, Agile, Docker, Machine Learning.","HTML, Agile, Docker, Machine Learning","R$ 7,683,00",Híbrido,Belo Horizonte
2,Scrum Master,"Scrum Master responsável por gerenciar redes. Necessário conhecimento em C++, Java, AWS, CSS.","C++, Java, AWS, CSS","R$ 13,325,00",Remoto,Recife
3,Cientista de Dados,"Cientista de Dados responsável por planejar aplicações. Necessário conhecimento em CSS, Node.js, HTML, UI/UX Design, DevOps, Kubernetes.","CSS, Node.js, HTML, UI/UX Design, DevOps, Kubernetes","R$ 4,653,00",Remoto,Florianópolis
4,Analista de Infraestrutura,"Analista de Infraestrutura responsável por gerenciar sistemas. Necessário conhecimento em Python, C++, Kubernetes, Cybersecurity, HTML.","Python, C++, Kubernetes, Cybersecurity, HTML","R$ 6,870,00",Remoto,Fortaleza
5,Consultor SAP,"Consultor SAP responsável por otimizar infraestrutura. Necessário conhecimento em AWS, Agile, Machine Learning, DevOps, C++.","AWS, Agile, Machine Learning, DevOps, C++","R$ 10,690,00",Remoto,Florianópolis
6,Cientista de Dados,"Cientista de Dados responsável por otimizar aplicações. Necessário conhecimento em React, Machine Learning, DevOps, CSS.","React, Machine Learning, DevOps, CSS","R$ 4,601,00",Remoto,Rio de Janeiro
7,Especialista em Redes,"Especialista em Redes responsável por gerenciar dados. Necessário conhecimento em React, JavaScript, Node.js, UI/UX Design, Python.","React, JavaScript, Node.js, UI/UX Design, Python","R$ 10,770,00",Presencial,Porto Alegre
8,Engenheiro de Software,"Engenheiro de Software responsável por manter aplicações. Necessário conhecimento em Cybersecurity, DevOps, Data Analysis, Java, Docker.","Cybersecurity, DevOps, Data Analysis, Java, Docker","R$ 6,146,00",Remoto,Recife
9,Analista de QA,"Analista de QA responsável por manter aplicações. Necessário conhecimento em Python, Kubernetes, AWS.","Python, Kubernetes, AWS","R$ 4,224,00",Híbrido,Salvador
10,Engenheiro de Dados,"Engenheiro de Dados responsável por otimizar redes. Necessário conhecimento em JavaScript, Data Analysis, Cybersecurity, SQL.","JavaScript, Data Analysis, Cybersecurity, SQL","R$ 8,781,00",Híbrido,Curitiba
11,Arquiteto de Soluções,"Arquiteto de Soluções responsável por gerenciar aplicações. Necessário conhecimento em DevOps, Kubernetes, Data Analysis, SQL, Node.js, JavaScript.","DevOps, Kubernetes, Data Analysis, SQL, Node.js, JavaScript","R$ 6,236,00",Presencial,Curitiba
12,Arquiteto de Soluções,"Arquiteto de Soluções responsável por gerenciar aplicações. Necessário conhecimento em UI/UX Design, HTML, Python, CSS, Cybersecurity.","UI/UX Design, HTML, Python, CSS, Cybersecurity","R$ 14,812,00",Remoto,Belo Horizonte
13,Consultor SAP,"Consultor SAP responsável por manter projetos. Necessário conhecimento em Angular, React, Scrum, Node.js, Data Analysis, DevOps.","Angular, React, Scrum, Node.js, Data Analysis, DevOps","R$ 7,912,00",Híbrido,Salvador
14,Product Owner,"Product Owner responsável por desenvolver dados. Necessário conhecimento em Java, React, DevOps, Node.js, UI/UX Design, Agile.","Java, React, DevOps, Node.js, UI/UX Design, Agile","R$ 4,606,00",Presencial,Fortaleza
15,Consultor de TI,"Consultor de TI responsável por planejar redes. Necessário conhecimento em JavaScript, Data Analysis, Cybersecurity, UI/UX Design, Agile.","JavaScript, Data Analysis, Cybersecurity, UI/UX Design, Agile","R$ 6,361,00",Remoto,Belo Horizonte
16,Engenheiro de Dados,"Engenheiro de Dados responsável por gerenciar dados. Necessário conhecimento em HTML, React, Node.js, C++, Agile, Machine Learning.","HTML, React, Node.js, C++, Agile, Machine Learning","R$ 9,188,00",Híbrido,Recife
17,Analista de BI,"Analista de BI responsável por manter projetos. Necessário conhecimento em Cybersecurity, C++, Kubernetes.","Cybersecurity, C++, Kubernetes","R$ 5,480,00",Remoto,Rio de Janeiro
18,Cientista de Dados,"Cientista de Dados responsável por planejar infraestrutura. Necessário conhecimento em AWS, CSS, Python, Java, React, Node.js.","AWS, CSS, Python, Java, React, Node.js","R$ 9,873,00",Remoto,Salvador
19,Engenheiro DevOps,"Engenheiro DevOps responsável por desenvolver sistemas. Necessário conhecimento em UI/UX Design, Machine Learning, AWS, Scrum.","UI/UX Design, Machine Learning, AWS, Scrum","R$ 13,985,00",Remoto,Brasília
20,Product Owner,"Product Owner responsável por manter redes. Necessário conhecimento em Agile, SQL, Kubernetes, Data Analysis, HTML, Scrum.","Agile, SQL, Kubernetes, Data Analysis, HTML, Scrum","R$ 4,153,00",Remoto,Curitiba
21,Analista de BI,"Analista de BI responsável por otimizar redes. Necessário conhecimento em C++, Data Analysis, Angular, CSS.","C++, Data Analysis, Angular, CSS","R$ 8,097,00",Remoto,Curitiba
22,Gerente de Projetos,"Gerente de Projetos responsável por manter redes. Necessário conhecimento em DevOps, JavaScript, Kubernetes, Node.js, Angular, CSS.","DevOps, JavaScript, Kubernetes, Node.js, Angular, CSS","R$ 8,837,00",Presencial,Salvador
23,Scrum Master,"Scrum Master responsável por manter projetos. Necessário conhecimento em Agile, Java, DevOps.","Agile, Java, DevOps","R$ 13,946,00",Remoto,Porto Alegre
24,Gerente de Projetos,"Gerente de Projetos responsável por planejar aplicações. Necessário conhecimento em SQL, JavaScript, Java, CSS, Data Analysis.","SQL, JavaScript, Java, CSS, Data Analysis","R$ 9,977,00",Híbrido,Belo Horizonte
25,Engenheiro de Dados,"Engenheiro de Dados responsável por gerenciar infraestrutura. Necessário conhecimento em React, Machine Learning, AWS, Docker, SQL.","React, Machine Learning, AWS, Docker, SQL","R$ 12,697,00",Híbrido,Curitiba
26,Analista de Segurança,"Analista de Segurança responsável por planejar projetos. Necessário conhecimento em DevOps, CSS, React, JavaScript, Data Analysis.","DevOps, CSS, React, JavaScript, Data Analysis","R$ 7,696,00",Híbrido,Salvador
27,Analista de BI,"Analista de BI responsável por otimizar infraestrutura. Necessário conhecimento em C++, Node.js, Python, HTML, JavaScript.","C++, Node.js, Python, HTML, JavaScript","R$ 8,295,00",Híbrido,Salvador
28,Administrador de Sistemas,"Administrador de Sistemas responsável por gerenciar aplicações. Necessário conhecimento em Kubernetes, DevOps, Python.","Kubernetes, DevOps, Python","R$ 9,374,00",Híbrido,Porto Alegre
29,Engenheiro de Dados,"Engenheiro de Dados responsável por manter dados. Necessário conhecimento em CSS, Machine Learning, JavaScript, SQL, Java, Python.","CSS, Machine Learning, JavaScript, SQL, Java, Python","R$ 5,902,00",Presencial,Porto Alegre
30,Analista de BI,"Analista de BI responsável por gerenciar redes. Necessário conhecimento em Node.js, Data Analysis, Angular, Machine Learning.","Node.js, Data Analysis, Angular, Machine Learning","R$ 6,531,00",Remoto,Rio de Janeiro
31,Analista de QA,"Analista de QA responsável por desenvolver infraestrutura. Necessário conhecimento em HTML, Java, Angular, Docker, Data Analysis, Kubernetes.","HTML, Java, Angular, Docker, Data Analysis, Kubernetes","R$ 5,627,00",Híbrido,Florianópolis
32,Analista de BI,"Analista de BI responsável por otimizar sistemas. Necessário conhecimento em Java, Node.js, HTML, Docker, JavaScript.","Java, Node.js, HTML, Docker, JavaScript","R$ 14,858,00",Presencial,Brasília
33,Desenvolvedor Backend,"Desenvolvedor Backend responsável por gerenciar projetos. Necessário conhecimento em React, Kubernetes, SQL.","React, Kubernetes, SQL","R$ 5,124,00",Híbrido,Porto Alegre
34,Consultor de TI,"Consultor de TI responsável por manter projetos. Necessário conhecimento em Kubernetes, React, SQL, Python.","Kubernetes, React, SQL, Python","R$ 6,129,00",Híbrido,Curitiba
35,Analista de Segurança,"Analista de Segurança responsável por manter projetos. Necessário conhecimento em Python, SQL, Cybersecurity.","Python, SQL, Cybersecurity","R$ 13,647,00",Remoto,São Paulo
36,Analista de Segurança,"Analista de Segurança responsável por planejar dados. Necessário conhecimento em Java, SQL, Machine Learning, UI/UX Design, JavaScript.","Java, SQL, Machine Learning, UI/UX Design, JavaScript","R$ 11,344,00",Remoto,Fortaleza
37,Consultor de TI,"Consultor de TI responsável por gerenciar sistemas. Necessário conhecimento em Data Analysis, UI/UX Design, Kubernetes.","Data Analysis, UI/UX Design, Kubernetes","R$ 14,795,00",Híbrido,Curitiba
38,Consultor SAP,"Consultor SAP responsável por otimizar redes. Necessário conhecimento em Java, DevOps, Node.js.","Java, DevOps, Node.js","R$ 5,768,00",Remoto,Recife
39,Engenheiro de Dados,"Engenheiro de Dados responsável por desenvolver infraestrutura. Necessário conhecimento em React, SQL, C++.","React, SQL, C++","R$ 14,228,00",Híbrido,Brasília
40,Analista de BI,"Analista de BI responsável por planejar redes. Necessário conhecimento em Node.js, UI/UX Design, CSS, Data Analysis, Machine Learning.","Node.js, UI/UX Design, CSS, Data Analysis, Machine Learning","R$ 5,874,00",Híbrido,Fortaleza
41,Gerente de Projetos,"Gerente de Projetos responsável por otimizar redes. Necessário conhecimento em Data Analysis, Kubernetes, Machine Learning, React, Cybersecurity, Docker.","Data Analysis, Kubernetes, Machine Learning, React, Cybersecurity, Docker","R$ 5,557,00",Remoto,Salvador
42,Especialista em Redes,"Especialista em Redes responsável por planejar sistemas. Necessário conhecimento em Angular, SQL, DevOps, C++, UI/UX Design.","Angular, SQL, DevOps, C++, UI/UX Design","R$ 11,075,00",Presencial,Florianópolis
43,Engenheiro DevOps,"Engenheiro DevOps responsável por manter redes. Necessário conhecimento em Agile, Scrum, Cybersecurity.","Agile, Scrum, Cybersecurity","R$ 6,002,00",Remoto,Florianópolis
44,Arquiteto de Soluções,"Arquiteto de Soluções responsável por planejar aplicações. Necessário conhecimento em CSS, Cybersecurity, Angular.","CSS, Cybersecurity, Angular","R$ 12,313,00",Presencial,Belo Horizonte
45,Analista de QA,"Analista de QA responsável por planejar infraestrutura. Necessário conhecimento em JavaScript, Angular, Scrum, Agile.","JavaScript, Angular, Scrum, Agile","R$ 13,406,00",Presencial,Salvador
46,Analista de BI,"Analista de BI responsável por desenvolver infraestrutura. Necessário conhecimento em Cybersecurity, HTML, Python.","Cybersecurity, HTML, Python","R$ 9,062,00",Remoto,Florianópolis
47,Desenvolvedor Backend,"Desenvolvedor Backend responsável por desenvolver redes. Necessário conhecimento em SQL, Agile, Node.js, C++.","SQL, Agile, Node.js, C++","R$ 14,373,00",Presencial,Rio de Janeiro
48,Engenheiro de Software,"Engenheiro de Software responsável por desenvolver infraestrutura. Necessário conhecimento em Node.js, Machine Learning, Data Analysis, React.","Node.js, Machine Learning, Data Analysis, React","R$ 9,105,00",Híbrido,Florianópolis
49,Consultor de TI,"Consultor de TI responsável por gerenciar sistemas. Necessário conhecimento em Java, SQL, AWS.","Java, SQL, AWS","R$ 5,336,00",Remoto,Recife
50,Arquiteto de Soluções,"Arquiteto de Soluções responsável por gerenciar sistemas. Necessário conhecimento em Cybersecurity, Data Analysis, Machine Learning, HTML, Docker, Node.js.","Cybersecurity, Data Analysis, Machine Learning, HTML, Docker, Node.js","R$ 9,655,00",Remoto,Rio de Janeiro
51,Analista de Suporte,"Analista de Suporte responsável por planejar sistemas. Necessário conhecimento em UI/UX Design, CSS, Java, Kubernetes, Node.js, Agile.","UI/UX Design, CSS, Java, Kubernetes, Node.js, Agile","R$ 7,349,00",Remoto,Porto Alegre
52,Engenheiro DevOps,"Engenheiro DevOps responsável por otimizar projetos. Necessário conhecimento em CSS, React, JavaScript, Python, DevOps.","CSS, React, JavaScript, Python, DevOps","R$ 6,116,00",Remoto,Fortaleza
53,Product Owner,"Product Owner responsável por otimizar sistemas. Necessário conhecimento em C++, Node.js, Java, Machine Learning, Python.","C++, Node.js, Java, Machine Learning, Python","R$ 9,129,00",Híbrido,Salvador
54,Consultor de TI,"Consultor de TI responsável por desenvolver aplicações. Necessário conhecimento em Machine Learning, CSS, JavaScript, Node.js, Python, AWS.","Machine Learning, CSS, JavaScript, Node.js, Python, AWS","R$ 11,538,00",Híbrido,Florianópolis
55,Engenheiro de Dados,"Engenheiro de Dados responsável por manter redes. Necessário conhecimento em JavaScript, Kubernetes, Machine Learning, Node.js, C++, Docker.","JavaScript, Kubernetes, Machine Learning, Node.js, C++, Docker","R$ 9,562,00",Presencial,Florianópolis
56,Analista de Segurança,"Analista de Segurança responsável por gerenciar projetos. Necessário conhecimento em UI/UX Design, JavaScript, Cybersecurity.","UI/UX Design, JavaScript, Cybersecurity","R$ 9,724,00",Remoto,Belo Horizonte
57,Product Owner,"Product Owner responsável por desenvolver aplicações. Necessário conhecimento em SQL, HTML, Docker.","SQL, HTML, Docker","R$ 6,504,00",Híbrido,Rio de Janeiro
58,Analista de Segurança,"Analista de Segurança responsável por otimizar sistemas. Necessário conhecimento em Data Analysis, Agile, Cybersecurity, React, UI/UX Design, C++.","Data Analysis, Agile, Cybersecurity, React, UI/UX Design, C++","R$ 11,682,00",Remoto,Curitiba
59,Scrum Master,"Scrum Master responsável por manter dados. Necessário conhecimento em Angular, UI/UX Design, C++.","Angular, UI/UX Design, C++","R$ 11,404,00",Presencial,São Paulo
60,Administrador de Sistemas,"Administrador de Sistemas responsável por gerenciar aplicações. Necessário conhecimento em C++, Cybersecurity, UI/UX Design, Node.js, Data Analysis.","C++, Cybersecurity, UI/UX Design, Node.js, Data Analysis","R$ 4,672,00",Remoto,Brasília
61,Gerente de Projetos,"Gerente de Projetos responsável por otimizar sistemas. Necessário conhecimento em Cybersecurity, DevOps, UI/UX Design, SQL, Java.","Cybersecurity, DevOps, UI/UX Design, SQL, Java","R$ 9,626,00",Híbrido,Rio de Janeiro
62,Engenheiro de Software,"Engenheiro de Software responsável por gerenciar aplicações. Necessário conhecimento em Java, Kubernetes, Data Analysis, Scrum.","Java, Kubernetes, Data Analysis, Scrum","R$ 13,991,00",Presencial,Florianópolis
63,Administrador de Sistemas,"Administrador de Sistemas responsável por planejar infraestrutura. Necessário conhecimento em Node.js, Machine Learning, React, Java, Scrum.","Node.js, Machine Learning, React, Java, Scrum","R$ 5,548,00",Híbrido,Salvador
64,Analista de Suporte,"Analista de Suporte responsável por manter infraestrutura. Necessário conhecimento em Cybersecurity, SQL, React, C++, Agile.","Cybersecurity, SQL, React, C++, Agile","R$ 14,748,00",Híbrido,Salvador
65,Engenheiro DevOps,"Engenheiro DevOps responsável por manter projetos. Necessário conhecimento em CSS, Scrum, Node.js.","CSS, Scrum, Node.js","R$ 14,979,00",Híbrido,Fortaleza
66,Engenheiro de Dados,"Engenheiro de Dados responsável por desenvolver infraestrutura. Necessário conhecimento em UI/UX Design, Angular, Python, Agile, CSS, C++.","UI/UX Design, Angular, Python, Agile, CSS, C++","R$ 11,967,00",Presencial,Porto Alegre
67,Engenheiro DevOps,"Engenheiro DevOps responsável por gerenciar redes. Necessário conhecimento em C++, CSS, JavaScript, UI/UX Design.","C++, CSS, JavaScript, UI/UX Design","R$ 12,626,00",Presencial,Florianópolis
68,Analista de Infraestrutura,"Analista de Infraestrutura responsável por desenvolver redes. Necessário conhecimento em Cybersecurity, Node.js, SQL, AWS.","Cybersecurity, Node.js, SQL, AWS","R$ 14,235,00",Presencial,Recife
69,Desenvolvedor Frontend,"Desenvolvedor Frontend responsável por gerenciar projetos. Necessário conhecimento em Angular, Kubernetes, Data Analysis, CSS, Scrum, JavaScript.","Angular, Kubernetes, Data Analysis, CSS, Scrum, JavaScript","R$ 9,070,00",Remoto,Porto Alegre
70,Administrador de Sistemas,"Administrador de Sistemas responsável por desenvolver aplicações. Necessário conhecimento em Data Analysis, CSS, Node.js, UI/UX Design, Machine Learning, C++.","Data Analysis, CSS, Node.js, UI/UX Design, Machine Learning, C++","R$ 6,267,00",Remoto,São Paulo
71,Analista de QA,"Analista de QA responsável por planejar projetos. Necessário conhecimento em Scrum, JavaScript, UI/UX Design, Agile, CSS.","Scrum, JavaScript, UI/UX Design, Agile, CSS","R$ 8,469,00",Remoto,Fortaleza
72,Engenheiro DevOps,"Engenheiro DevOps responsável por planejar dados. Necessário conhecimento em C++, Kubernetes, Data Analysis, Angular, Python, Docker.","C++, Kubernetes, Data Analysis, Angular, Python, Docker","R$ 12,224,00",Remoto,Porto Alegre
73,UI/UX Designer,"UI/UX Designer responsável por manter sistemas. Necessário conhecimento em Angular, Kubernetes, Python.","Angular, Kubernetes, Python","R$ 14,648,00",Remoto,Belo Horizonte
74,Engenheiro DevOps,"Engenheiro DevOps responsável por otimizar dados. Necessário conhecimento em CSS, DevOps, SQL.","CSS, DevOps, SQL","R$ 14,081,00",Presencial,Rio de Janeiro
75,Desenvolvedor Backend,"Desenvolvedor Backend responsável por planejar infraestrutura. Necessário conhecimento em Docker, SQL, Scrum, UI/UX Design, Machine Learning.","Docker, SQL, Scrum, UI/UX Design, Machine Learning","R$ 7,893,00",Remoto,Rio de Janeiro
76,Desenvolvedor Frontend,"Desenvolvedor Frontend responsável por otimizar aplicações. Necessário conhecimento em Machine Learning, Data Analysis, C++, JavaScript.","Machine Learning, Data Analysis, C++, JavaScript","R$ 12,782,00",Presencial,Fortaleza
77,Consultor de TI,"Consultor de TI responsável por gerenciar infraestrutura. Necessário conhecimento em SQL, CSS, Machine Learning, Python.","SQL, CSS, Machine Learning, Python","R$ 7,941,00",Híbrido,Salvador
78,Analista de Segurança,"Analista de Segurança responsável por gerenciar aplicações. Necessário conhecimento em UI/UX Design, Angular, C++.","UI/UX Design, Angular, C++","R$ 12,312,00",Híbrido,Fortaleza
79,Desenvolvedor Backend,"Desenvolvedor Backend responsável por planejar infraestrutura. Necessário conhecimento em DevOps, Java, Node.js, Angular, HTML, UI/UX Design.","DevOps, Java, Node.js, Angular, HTML, UI/UX Design","R$ 5,106,00",Remoto,Porto Alegre
80,Cientista de Dados,"Cientista de Dados responsável por otimizar redes. Necessário conhecimento em SQL, Java, Angular, React, AWS.","SQL, Java, Angular, React, AWS","R$ 11,840,00",Híbrido,Belo Horizonte
81,Engenheiro DevOps,"Engenheiro DevOps responsável por desenvolver sistemas. Necessário conhecimento em Data Analysis, Java, CSS.","Data Analysis, Java, CSS","R$ 7,268,00",Presencial,Florianópolis
82,Analista de Suporte,"Analista de Suporte responsável por manter sistemas. Necessário conhecimento em Scrum, DevOps, HTML, Java, Docker, SQL.","Scrum, DevOps, HTML, Java, Docker, SQL","R$ 14,743,00",Remoto,Curitiba
83,Cientista de Dados,"Cientista de Dados responsável por desenvolver dados. Necessário conhecimento em Machine Learning, Node.js, Data Analysis, Agile, React.","Machine Learning, Node.js, Data Analysis, Agile, React","R$ 12,151,00",Remoto,Fortaleza
84,Scrum Master,"Scrum Master responsável por gerenciar projetos. Necessário conhecimento em Machine Learning, C++, Cybersecurity.","Machine Learning, C++, Cybersecurity","R$ 12,937,00",Remoto,Florianópolis
85,Cientista de Dados,"Cientista de Dados responsável por otimizar aplicações. Necessário conhecimento em React, CSS, Agile.","React, CSS, Agile","R$ 10,981,00",Presencial,Recife
86,Administrador de Sistemas,"Administrador de Sistemas responsável por otimizar infraestrutura. Necessário conhecimento em Java, Angular, Machine Learning, HTML, Cybersecurity, DevOps.","Java, Angular, Machine Learning, HTML, Cybersecurity, DevOps","R$ 12,406,00",Híbrido,Belo Horizonte
87,Desenvolvedor Backend,"Desenvolvedor Backend responsável por planejar projetos. Necessário conhecimento em Cybersecurity, Data Analysis, Java, SQL.","Cybersecurity, Data Analysis, Java, SQL","R$ 14,570,00",Remoto,Florianópolis
88,UI/UX Designer,"UI/UX Designer responsável por manter infraestrutura. Necessário conhecimento em Cybersecurity, SQL, Data Analysis.","Cybersecurity, SQL, Data Analysis","R$ 11,273,00",Presencial,Brasília
89,Engenheiro DevOps,"Engenheiro DevOps responsável por planejar redes. Necessário conhecimento em Node.js, React, HTML, Kubernetes, JavaScript.","Node.js, React, HTML, Kubernetes, JavaScript","R$ 7,048,00",Remoto,Fortaleza
90,UI/UX Designer,"UI/UX Designer responsável por desenvolver aplicações. Necessário conhecimento em HTML, Cybersecurity, Data Analysis.","HTML, Cybersecurity, Data Analysis","R$ 8,678,00",Híbrido,Recife
91,Gerente de Projetos,"Gerente de Projetos responsável por desenvolver redes. Necessário conhecimento em SQL, C++, Data Analysis.","SQL, C++, Data Analysis","R$ 11,292,00",Presencial,Florianópolis
92,Administrador de Sistemas,"Administrador de Sistemas responsável por manter projetos. Necessário conhecimento em Scrum, Cybersecurity, CSS.","Scrum, Cybersecurity, CSS","R$ 14,448,00",Presencial,Florianópolis
93,Engenheiro de Software,"Engenheiro de Software responsável por otimizar sistemas. Necessário conhecimento em JavaScript, Docker, SQL, Kubernetes.","JavaScript, Docker, SQL, Kubernetes","R$ 9,912,00",Híbrido,Brasília
94,Administrador de Sistemas,"Administrador de Sistemas responsável por otimizar aplicações. Necessário conhecimento em Scrum, SQL, C++, Cybersecurity, CSS, Docker.","Scrum, SQL, C++, Cybersecurity, CSS, Docker","R$ 10,730,00",Remoto,Brasília
95,Engenheiro de Dados,"Engenheiro de Dados responsável por gerenciar infraestrutura. Necessário conhecimento em React, C++, Data Analysis, Scrum.","React, C++, Data Analysis, Scrum","R$ 6,102,00",Híbrido,Brasília
96,Analista de Segurança,"Analista de Segurança responsável por gerenciar projetos. Necessário conhecimento em Machine Learning, UI/UX Design, Java, JavaScript.","Machine Learning, UI/UX Design, Java, JavaScript","R$ 8,982,00",Presencial,Belo Horizonte
97,Especialista em Redes,"Especialista em Redes responsável por manter projetos. Necessário conhecimento em Angular, UI/UX Design, CSS, C++.","Angular, UI/UX Design, CSS, C++","R$ 14,404,00",Híbrido,Curitiba
98,Engenheiro DevOps,"Engenheiro DevOps responsável por gerenciar aplicações. Necessário conhecimento em Cybersecurity, Scrum, C++, UI/UX Design, AWS.","Cybersecurity, Scrum, C++, UI/UX Design, AWS","R$ 6,526,00",Presencial,Brasília
99,Analista de Infraestrutura,"Analista de Infraestrutura responsável por gerenciar infraestrutura. Necessário conhecimento em Agile, Java, Python, C++, Cybersecurity.","Agile, Java, Python, C++, Cybersecurity","R$ 14,668,00",Presencial,Brasília
100,Arquiteto de Soluções,"Arquiteto de Soluções responsável por manter dados. Necessário conhecimento em DevOps, Scrum, CSS.","DevOps, Scrum, CSS","R$ 8,012,00",Híbrido,Salvador
